,transaction_id,date,product,quantity,unit_price,total_price
0,T001,2024-08-01,Laptop,2,1200,2400
1,T002,2024-08-01,Mouse,5,25,125
2,T003,2024-08-02,Keyboard,3,45,135
3,T004,2024-08-02,Monitor,1,300,300
4,T005,2024-08-03,USB Drive,10,15,150
5,T006,2024-08-03,Printer,2,150,300
6,T007,2024-08-04,Webcam,4,70,280
7,T008,2024-08-04,Router,1,80,80
8,T009,2024-08-05,External Hard Drive,3,100,300
9,T010,2024-08-05,Headphones,6,50,300
10,T011,2024-08-06,Mouse Pad,8,10,80
11,T012,2024-08-06,Desk Lamp,2,40,80
12,T013,2024-08-07,Monitor Stand,1,25,25
13,T014,2024-08-07,Docking Station,2,120,240
14,T015,2024-08-08,Laptop Bag,5,60,300
15,T016,2024-08-08,Power Bank,7,30,210
16,T017,2024-08-09,Microphone,3,90,270
17,T018,2024-08-09,Keyboard Cover,6,15,90
18,T019,2024-08-10,Tablet,2,350,700
19,T020,2024-08-10,Smartphone,4,500,2000
20,T021,2024-08-11,Bluetooth Speaker,5,80,400
21,T022,2024-08-11,Smartwatch,3,200,600
22,T023,2024-08-12,Portable Charger,7,25,175
23,T024,2024-08-12,Camera Lens,2,500,1000
24,T025,2024-08-13,Gaming Console,1,400,400
25,T026,2024-08-13,VR Headset,3,300,900
26,T027,2024-08-14,Smart TV,1,600,600
27,T028,2024-08-14,Soundbar,2,120,240
28,T029,2024-08-15,Digital Camera,2,350,700
29,T030,2024-08-15,Smart Home Device,4,90,360
